자미궁,한식,인천광역시 서구 원당대로819번길 38(원당동),자미일성:16000+자미삼성:38000,032-567-1188,37.59587081,126.6944209,2020-08-01
어부횟집,일식,"인천광역시 서구 검단로 467, 201호~202호(왕길동, 다섬프라자)",어부만선코스:170000+어부A코스:130000,032-568-2922,37.60183127,126.6562774,2020-08-01
강선생막국수,한식,인천광역시 서구 담지로86번길 20(청라동),막국수:7000+만두전골:8000,032-576-3939,37.53749895,126.6618444,2020-08-01
희래등,중식,인천광역시 서구 탁옥로86번길 6-1(심곡동),망고크림새우(소):40000+멘보샤(소):28000,032-565-5100,37.54312419,126.6789212,2020-08-01
한울능이버섯오리백숙,한식,인천광역시 서구 청라에메랄드로163번길 3-9(청라동),능이버섯오리백숙:60000+토종닭백숙:60000,032-561-8252,37.53920505,126.6557717,2020-08-01
석남동함흥냉면,한식,인천광역시 서구 석남로 87(석남동),냉면:8000+돼지갈비:14000,032-583-8445,37.50110712,126.6714732,2020-08-01
김생곤의 육해공,한식,"인천광역시 서구 원창로64번길 16-8, 1층(원창동)",전복낙지갈비탕:25000+갈비탕:12000,032-565-8444,37.51772666,126.6535663,2020-08-01
해아낙,한식,인천광역시 서구 청라에메랄드로163번길 3-7(연희동),해물찜(대):69000+아귀찜(대):59000,032-571-7007,37.53920749,126.6559866,2020-08-01
남해멸치쌈밥,한식,인천광역시 서구 원당대로301번길 3(왕길동),멸치쌈밥:12000+멸치회무침:20000,032-563-4905,37.58790209,126.6350942,2020-08-01
본터랍스타,양식,인천광역시 서구 심곡로 81(심곡동),랍스터코스요리(1인당):40000+해물누릉지탕:7000,032-567-6151,37.54219253,126.6785982,2020-08-01
태백산,한식,인천광역시 서구 서곶로315번길 26(심곡동),돼지왕갈비:16000+소고기:31000,032-567-3331,37.54600532,126.6739026,2020-08-01
영빈관,중식,"인천광역시 서구 승학로236번길 28, 2층(심곡동)",유니짜장:6000+찹쌀탕수육(대):25000,032-563-0288,37.54332132,126.6756022,2020-08-01
권오길손국수본점,한식,"인천광역시 서구 검단로 789, 1층(불로동)",즉석칼국수:8000+냉말이:7000,032-564-7541,37.61541759,126.6866379,2020-08-01
참맛나쭈꾸미,한식,인천광역시 서구 건지로 372(가좌동),주꾸미볶음:20000~37000+부대찌개:7000,032-581-7882,37.49653232,126.6829646,2020-08-01
바다뚝배기동태탕,한식,인천광역시 서구 푸른로16번길 3(경서동),동태탕:8000+알찜:43000+동태내장전골:40000,032-578-2580,37.5240062,126.6299908,2020-08-01
유천가든,한식,인천광역시 서구 아라로51번길 6-1(시천동),오리진흙구이:63000+오리로스:39000,032-567-7723,37.57262571,126.6815364,2020-08-01
청수한방횡계백숙,한식,인천광역시 서구 서곶로255번길 7(심곡동),닭볶음탕:45000+한방오리백숙:50000,032-567-2446,37.54025097,126.6757923,2020-08-01
가정옥,한식,인천광역시 서구 가정로352번길 3(가정동),삼계탕:13000+꼬리찜(대):65000+꼬리찜(소):55000,032-583-6783,37.51628334,126.6733423,2020-08-01
뜨락민물장어간장게장,한식,인천광역시 서구 담지로86번길 16-37(청라동),장어구이(1kg):69000+간장게장:25000,032-511-8081,37.53654393,126.6618501,2020-08-01
이계종李복집,일식,인천광역시 서구 가정로 168(석남동),복해장국:8000~20000+지리탕:25000,032-576-7022,37.49969267,126.6722898,2020-08-01
토향해물전문점,한식,인천광역시 서구 원창로229번길 34-2(가정동),박속낙지탕:15000+낙지볶음(대):35000,032-576-7895,37.52040324,126.6751473,2020-08-01
교동찹쌀순대,한식,인천광역시 서구 심곡로55번길 5(심곡동),순대국밥:7000+모듬수육(대):25000,032-563-3838,37.54255725,126.6757628,2020-08-01
금강산추어탕,한식,인천광역시 서구 탁옥로51번길 13-8(심곡동),추어탕:7000+삼겹살(1인분):12000,032-565-9929,37.54539871,126.6744452,2020-08-01
진천토종순대,한식,인천광역시 서구 신진말로 37(가좌동),순대전골:30000+순대국밥:7000,032-574-0798,37.49333339,126.6797074,2020-08-01
좋은나무,한식,"인천광역시 서구 건지로 401, 2층(가좌동, 에이스프라자)",떡갈비정식:15000+우엉불고기정식:15000,032-571-7657,37.49572874,126.6860546,2020-08-01
자연쌈밥앤미역국,한식,인천광역시 서구 대평로7번길 4(심곡동),,032-565-9984,37.54689385,126.676003,2020-08-01
초애삼계탕,한식,인천광역시 서구 담지로86번길 16(청라동),,032-565-9222,37.53746897,126.6615847,2020-08-01
마담소,한식,인천광역시 서구 원적로 120(가좌동),,032-574-8506,37.49645097,126.6845606,2020-08-01
서해갯마을,한식,인천광역시 서구 명가골로 35(석남동),,032-577-7709,37.51298486,126.6732762,2020-08-01
구도로통닭,한식,인천광역시 서구 청라커낼로260번길 15(청라동),,032-565-9283,37.53207872,126.6463617,2020-08-01
금화정남원추어탕,한식,인천광역시 서구 경명대로 692(공촌동),,032-564-9919,37.55158447,126.6853585,2020-08-01
진천토종순대,한식,인천광역시 서구 검암로30번길 10(검암동),,032-565-8665,37.56669629,126.6814711,2020-08-01
